"Start";"End";"Label"
"0.021333333";"0.576";"F#m6"
"0.576";"1.066666667";"F#aug"
"1.066666667";"1.6";"Gm"
"1.6";"2.197333333";"F"
"2.197333333";"2.794666667";"Em"
"2.794666667";"3.392";"Cm6"
"3.392";"4.586666667";"Gm"
"4.586666667";"4.970666667";"Cm6"
"4.970666667";"5.525333333";"Bb6"
"5.525333333";"5.738666667";"F"
"5.738666667";"6.933333333";"Bb"
"6.933333333";"8.106666667";"D7/F#"
"8.106666667";"9.258666667";"Em"
"9.258666667";"10.026666667";"C"
"10.026666667";"10.197333333";"Bm"
"10.197333333";"10.389333333";"Am"
"10.389333333";"10.965333333";"G"
"10.965333333";"11.562666667";"C6"
"11.562666667";"12.16";"A7/C#"
"12.16";"12.778666667";"D"
"12.778666667";"16.234666667";"A7"
"16.234666667";"16.618666667";"F#7/A#"
